player_id,name,position,G,A,points,shots,timeOnIcePerGame
8477944,JAKUB VRANA,LW,16,18,34,132,14.29
8476853,MORGAN RIELLY,D,6,28,34,137,22.67
8470610,ZACH PARISE,LW,17,17,34,126,16.62
8471228,ALEXANDER RADULOV,RW,14,20,34,120,16.4
8470612,RYAN GETZLAF,C,10,24,34,109,17.92
8475793,RYAN JOHANSEN,C,11,22,33,86,16.6
8473986,ALEX KILLORN,LW,16,17,33,104,16.79
8474715,CAM ATKINSON,RW,17,16,33,171,17.21
8476880,TOM WILSON,RW,16,17,33,119,17.4
8475722,JASON ZUCKER,LW,16,17,33,111,15.78
8474573,JOSH BAILEY,RW,10,23,33,81,16.2
8478519,ANTHONY CIRELLI,C,13,19,32,96,17.19
8479343,CLAYTON KELLER,C,12,20,32,136,15.86
8475314,ANDERS LEE,LW,16,16,32,144,17.35
8478042,VIKTOR ARVIDSSON,LW,18,14,32,131,15.88
8477951,NICK SCHMALTZ,C,9,23,32,81,15.21
8474679,GUSTAV NYQUIST,RW,12,20,32,120,17.18
8478469,THOMAS CHABOT,D,7,25,32,140,24.23
8474586,JORDAN EBERLE,C,14,18,32,121,16.9
8476389,VINCENT TROCHECK,C,10,22,32,126,16.35
8475197,TYSON BARRIE,D,6,26,32,128,20.68
8477447,SHEA THEODORE,D,9,22,31,152,20.86
8474565,ALEX PIETRANGELO,D,9,22,31,146,22.71
8477950,TONY DEANGELO,D,7,24,31,108,18.36
8471669,PAUL STASTNY,C,12,19,31,105,16.53
8477407,ANTHONY DUCLAIR,LW,17,14,31,137,15.28
8475692,MATS ZUCCARELLO,RW,11,20,31,88,15.74
8475798,MIKAEL GRANLUND,RW,13,18,31,116,17.08
8474037,JAMES VAN RIEMSDYK,LW,16,15,31,119,14.52
8476292,ONDREJ PALAT,LW,11,20,31,99,15.44
8474150,MIKAEL BACKLUND,C,12,19,31,125,17.13
8475906,JOHN KLINGBERG,D,6,25,31,110,21.25
8477494,JONATHAN DROUIN,LW,12,18,30,109,15.25
8476438,BRANDON SAAD,LW,17,13,30,126,16.17
8478099,KEVIN LABANC,RW,11,19,30,123,15.26
8470794,JOE PAVELSKI,C,15,15,30,106,16.49
8470966,MARK GIORDANO,D,6,24,30,131,22.54
8475726,TYLER TOFFOLI,C,15,15,30,149,16.19
8470606,DUSTIN BROWN,RW,14,16,30,129,17.77
8478498,JAKE DEBRUSK,LW,16,14,30,128,15.45
8471735,KEITH YANDLE,D,3,27,30,100,19.0
8477015,CONNOR BROWN,RW,11,19,30,118,18.47
8478460,ZACH WERENSKI,D,12,18,30,141,22.48
8476919,CHRIS TIERNEY,C,9,21,30,84,16.45
8470600,RYAN SUTER,D,4,26,30,85,23.38
8473994,JAMIE BENN,LW,14,16,30,122,15.97
8480113,ALEX IAFALLO,C,12,18,30,110,17.83
8476871,TANNER PEARSON,LW,15,15,30,120,15.61
8477495,SETH JONES,D,6,23,29,121,23.81
8479407,JESPER BRATT,LW,12,17,29,95,13.7
8478067,OSKAR LINDBLOM,LW,16,13,29,129,16.46
8475164,JAKOB SILFVERBERG,RW,15,14,29,123,16.86
8478131,ONDREJ KASE,RW,12,17,29,145,15.74
8474641,ADAM HENRIQUE,C,15,14,29,113,16.14
8471887,PATRIC HORNQVIST,RW,15,14,29,156,15.29
8476960,ANDREAS ATHANASIOU,LW,14,15,29,130,15.37
8475784,JEFF SKINNER,LW,16,12,28,157,16.04
8477949,ALEX TUCH,RW,13,15,28,124,14.42
8476288,RYAN DZINGEL,LW,11,17,28,90,14.01
8477955,JARED MCCANN,C,12,16,28,118,14.65
8476419,JEAN-GABRIEL PAGEAU,C,15,13,28,120,18.11
8478463,ANTHONY BEAUVILLIER,C,14,14,28,111,16.27
8476872,SCOTT LAUGHTON,C,13,15,28,87,14.15
8477932,AARON EKBLAD,D,6,22,28,116,21.75
8475820,JOONAS DONSKOI,RW,13,15,28,93,15.21
8477953,KASPERI KAPANEN,RW,12,16,28,105,15.29
8468508,JUSTIN WILLIAMS,RW,15,12,27,138,13.64
8476979,ERIK GUSTAFSSON,D,7,20,27,88,19.56
8475287,ERIK HAULA,LW,12,15,27,100,15.32
8480145,NEAL PIONK,D,4,23,27,121,21.82
8473507,JEFF PETRY,D,7,20,27,112,22.23
8475792,BRETT CONNOLLY,RW,14,13,27,94,13.93
8475799,NINO NIEDERREITER,RW,11,16,27,100,14.48
8476469,JOEL ARMIA,RW,14,13,27,137,16.36
8474189,LARS ELLER,C,11,16,27,113,16.26
8475745,CHARLIE COYLE,C,11,16,27,109,16.21
8466138,JOE THORNTON,C,8,19,27,65,14.96
8478401,PAVEL ZACHA,C,9,17,26,90,15.62
8470642,SHEA WEBER,D,10,16,26,141,22.55
8474563,DREW DOUGHTY,D,4,22,26,106,24.31
8477506,RYAN PULOCK,D,7,19,26,121,21.16
8477021,ALEXANDER KERFOOT,C,9,17,26,80,14.3
8475149,MARCUS JOHANSSON,LW,9,17,26,90,16.31
8477220,NATE SCHMIDT,D,6,20,26,101,20.66
8477456,J.T. COMPHER,LW,11,15,26,94,16.0
8476381,ANDREW SHAW,RW,10,16,26,100,14.16
8476826,YANNI GOURDE,C,10,16,26,85,13.83
8471303,ALEXANDER EDLER,D,5,21,26,105,21.55
8476472,OSCAR KLEFBOM,D,4,22,26,136,23.73
