player_id,name,position,goals,assists,points,shots,timeOnIcePerGame
8475722,Jason Zucker,LW,16,17,33,111,15.78
8474573,Josh Bailey,RW,10,23,33,81,16.2
8478519,Anthony Cirelli,C,13,19,32,96,17.19
8479343,Clayton Keller,C,12,20,32,136,15.86
8475314,Anders Lee,LW,16,16,32,144,17.35
8478042,Viktor Arvidsson,LW,18,14,32,131,15.88
8477951,Nick Schmaltz,C,9,23,32,81,15.21
8474679,Gustav Nyquist,RW,12,20,32,120,17.18
8478469,Thomas Chabot,D,7,25,32,140,24.23
8474586,Jordan Eberle,C,14,18,32,121,16.9
8476389,Vincent Trocheck,C,10,22,32,126,16.35
8475197,Tyson Barrie,D,6,26,32,128,20.68
8477447,Shea Theodore,D,9,22,31,152,20.86
8474565,Alex Pietrangelo,D,9,22,31,146,22.71
8477950,Tony DeAngelo,D,7,24,31,108,18.36
8471669,Paul Stastny,C,12,19,31,105,16.53
8477407,Anthony Duclair,LW,17,14,31,137,15.28
8475692,Mats Zuccarello,RW,11,20,31,88,15.74
8475798,Mikael Granlund,RW,13,18,31,116,17.08
8474037,James van Riemsdyk,LW,16,15,31,119,14.52
8476292,Ondrej Palat,LW,11,20,31,99,15.44
8474150,Mikael Backlund,C,12,19,31,125,17.13
8475906,John Klingberg,D,6,25,31,110,21.25
8477494,Jonathan Drouin,LW,12,18,30,109,15.25
8476438,Brandon Saad,LW,17,13,30,126,16.17
8478099,Kevin Labanc,RW,11,19,30,123,15.26
8470794,Joe Pavelski,C,15,15,30,106,16.49
8470966,Mark Giordano,D,6,24,30,131,22.54
8475726,Tyler Toffoli,C,15,15,30,149,16.19
8470606,Dustin Brown,RW,14,16,30,129,17.77
8478498,Jake DeBrusk,LW,16,14,30,128,15.45
8471735,Keith Yandle,D,3,27,30,100,19.0
8477015,Connor Brown,RW,11,19,30,118,18.47
8478460,Zach Werenski,D,12,18,30,141,22.48
8476919,Chris Tierney,C,9,21,30,84,16.45
8470600,Ryan Suter,D,4,26,30,85,23.38
8473994,Jamie Benn,LW,14,16,30,122,15.97
8480113,Alex Iafallo,C,12,18,30,110,17.83
8476871,Tanner Pearson,LW,15,15,30,120,15.61
8477495,Seth Jones,D,6,23,29,121,23.81
8479407,Jesper Bratt,LW,12,17,29,95,13.7
8478067,Oskar Lindblom,LW,16,13,29,129,16.46
8475164,Jakob Silfverberg,RW,15,14,29,123,16.86
8478131,Ondrej Kase,RW,12,17,29,145,15.74
8474641,Adam Henrique,C,15,14,29,113,16.14
8471887,Patric Hornqvist,RW,15,14,29,156,15.29
8476960,Andreas Athanasiou,LW,14,15,29,130,15.37
8475784,Jeff Skinner,LW,16,12,28,157,16.04
8477949,Alex Tuch,RW,13,15,28,124,14.42
8476288,Ryan Dzingel,LW,11,17,28,90,14.01
8477955,Jared McCann,C,12,16,28,118,14.65
8476419,Jean-Gabriel Pageau,C,15,13,28,120,18.11
8478463,Anthony Beauvillier,C,14,14,28,111,16.27
8476872,Scott Laughton,C,13,15,28,87,14.15
8477932,Aaron Ekblad,D,6,22,28,116,21.75
8475820,Joonas Donskoi,RW,13,15,28,93,15.21
8477953,Kasperi Kapanen,RW,12,16,28,105,15.29
8468508,Justin Williams,RW,15,12,27,138,13.64
8476979,Erik Gustafsson,D,7,20,27,88,19.56
8475287,Erik Haula,LW,12,15,27,100,15.32
8480145,Neal Pionk,D,4,23,27,121,21.82
8473507,Jeff Petry,D,7,20,27,112,22.23
8475792,Brett Connolly,RW,14,13,27,94,13.93
8475799,Nino Niederreiter,RW,11,16,27,100,14.48
8476469,Joel Armia,RW,14,13,27,137,16.36
8474189,Lars Eller,C,11,16,27,113,16.26
8475745,Charlie Coyle,C,11,16,27,109,16.21
8466138,Joe Thornton,C,8,19,27,65,14.96
8478401,Pavel Zacha,C,9,17,26,90,15.62
8470642,Shea Weber,D,10,16,26,141,22.55
8474563,Drew Doughty,D,4,22,26,106,24.31
8477506,Ryan Pulock,D,7,19,26,121,21.16
8477021,Alexander Kerfoot,C,9,17,26,80,14.3
8475149,Marcus Johansson,LW,9,17,26,90,16.31
8477220,Nate Schmidt,D,6,20,26,101,20.66
8477456,J.T. Compher,LW,11,15,26,94,16.0
8476381,Andrew Shaw,RW,10,16,26,100,14.16
8476826,Yanni Gourde,C,10,16,26,85,13.83
8471303,Alexander Edler,D,5,21,26,105,21.55
8476472,Oscar Klefbom,D,4,22,26,136,23.73
8478366,Frank Vatrano,C,13,13,26,128,14.48
8477989,Christian Dvorak,C,11,15,26,99,15.8
8475714,Calle Jarnkrok,C,11,15,26,103,15.29
8475178,Zack Kassian,RW,12,14,26,90,15.01
8474870,Tyler Johnson,C,13,13,26,96,14.2
8471262,Carl Soderberg,C,12,14,26,106,15.46
8476399,Blake Coleman,C,15,10,25,148,15.97
8479325,Charlie McAvoy,D,5,20,25,87,21.69
8476410,Josh Leivo,LW,10,15,25,106,14.41
8474589,Tyler Ennis,LW,12,13,25,114,13.76
8477504,Josh Morrissey,D,5,20,25,96,21.46
8471707,James Neal,LW,14,11,25,112,15.54
8474716,Jared Spurgeon,D,8,17,25,94,21.47
8476480,Vladislav Namestnikov,C,12,13,25,85,14.55
8477499,Rasmus Ristolainen,D,4,21,25,104,21.7
8474009,Nick Bonino,C,12,13,25,85,15.85
8478400,Colin White,C,8,16,24,85,15.19
8479410,Mikhail Sergachev,D,6,18,24,94,19.13
8477960,Adrian Kempe,LW,9,15,24,109,15.26
8479316,Luke Kunin,C,11,13,24,108,14.96
8470604,Jeff Carter,C,13,11,24,139,16.35
8478500,Ivan Provorov,D,8,16,24,108,23.4
8476856,Matt Dumba,D,9,15,24,131,21.34
8478046,Danton Heinen,C,9,15,24,90,13.97
8476885,Jacob Trouba,D,5,19,24,118,21.34
8475225,Craig Smith,RW,13,11,24,132,13.25
8477941,Nick Ritchie,LW,9,15,24,89,13.84
8474068,Kyle Turris,C,7,17,24,80,14.91
8473422,Nick Foligno,LW,9,15,24,105,17.7
8475171,Oliver Ekman-Larsson,D,7,17,24,108,21.77
8476958,Jaccob Slavin,D,5,19,24,107,22.03
8476924,Martin Frk,RW,14,10,24,81,12.99
8476851,Alex Galchenyuk,LW,9,15,24,88,12.41
8477429,Andrew Copp,C,10,14,24,101,16.37
8477498,Darnell Nurse,D,5,19,24,124,22.15
8477937,Jake Virtanen,RW,12,12,24,114,12.95
8475218,Mattias Ekholm,D,5,19,24,110,22.04
8475098,Tyler Bozak,C,9,15,24,92,14.92
8475764,Cam Fowler,D,6,17,23,96,20.93
8476923,Damon Severson,D,6,17,23,92,21.57
8479398,Samuel Girard,D,3,20,23,80,19.99
8475222,Sami Vatanen,D,5,18,23,106,20.57
8478493,Joel Eriksson Ek,C,8,15,23,100,14.92
8476432,Boone Jenner,C,10,13,23,132,17.2
8469459,Mikko Koivu,C,6,17,23,81,15.29
8478585,Derek Ryan,C,8,15,23,80,14.02
8478458,Jack Roslovic,C,9,14,23,89,13.89
8474613,Derek Stepan,C,8,15,23,124,17.04
8473533,Jordan Staal,C,8,15,23,107,16.83
8477476,Artturi Lehkonen,LW,10,12,22,111,14.9
8477505,Alexander Wennberg,C,5,17,22,71,15.85
8476892,Colton Parayko,D,8,14,22,127,21.71
8474162,Jake Muzzin,D,5,17,22,96,20.41
8470281,Duncan Keith,D,2,20,22,93,22.81
8475855,Jesper Fast,RW,9,13,22,73,15.86
8476994,Vinnie Hinostroza,LW,7,15,22,104,13.01
8473544,Derick Brassard,C,9,13,22,87,13.46
8475209,Richard Panik,RW,9,12,21,70,11.77
8476897,Oskar Sundqvist,C,10,11,21,92,13.87
8477839,Conor Sheary,LW,9,12,21,91,12.95
8479293,Brandon Tanev,LW,9,12,21,83,14.22
8476393,Nick Cousins,C,8,13,21,95,13.14
8479345,Jakob Chychrun,D,8,13,21,125,20.97
8474038,Paul Byron,LW,9,12,21,70,13.92
8475220,Marcus Foligno,LW,9,12,21,80,13.87
8475236,Cody Eakin,C,9,12,21,76,14.2
8476906,Shayne Gostisbehere,D,6,15,21,98,17.55
8478866,Dominik Simon,C,7,14,21,92,13.86
8471274,Alex Goligoski,D,3,18,21,77,21.53
8476854,Hampus Lindholm,D,4,17,21,99,21.85
8471233,Travis Zajac,C,8,13,21,68,16.6
8474685,Matt Calvert,LW,9,12,21,95,13.65
8476918,Jimmy Vesey,LW,9,11,20,87,13.65
8471702,Matt Niskanen,D,5,15,20,92,20.73
8466139,Patrick Marleau,C,9,11,20,95,15.1
8474031,Kevin Shattenkirk,D,3,17,20,97,18.0
8473573,Artem Anisimov,C,12,8,20,93,13.71
8477425,Miles Wood,LW,9,11,20,116,12.96
8475200,Dmitry Orlov,D,3,17,20,80,21.07
8471676,Bobby Ryan,RW,9,11,20,96,13.38
8477948,Travis Sanheim,D,6,14,20,86,19.04
8479370,Tyson Jost,C,8,12,20,94,12.48
8476889,Radek Faksa,C,10,10,20,88,15.29
8477964,Ivan Barbashev,C,9,11,20,63,12.89
8479465,Drake Caggiula,LW,11,9,20,81,11.9
8478569,Noel Acciari,C,13,7,20,90,15.07
8474176,Carl Hagelin,LW,6,14,20,94,13.85
8474683,Derek Grant,C,10,10,20,87,13.23
8476624,Barclay Goodrow,RW,7,13,20,81,14.76
8474190,Wayne Simmonds,RW,8,12,20,97,14.5
8477355,Will Butcher,D,3,17,20,66,17.26
8476850,Ryan Murray,D,3,17,20,67,19.11
8475231,Casey Cizikas,C,12,8,20,81,13.84
8475163,Alex Chiasson,RW,10,10,20,81,13.2
8470621,Corey Perry,RW,7,12,19,82,13.46
8477450,Jason Dickinson,C,7,12,19,80,14.38
8475834,Marcus Sorensen,LW,9,10,19,71,13.37
8476905,Chandler Stephenson,C,8,11,19,63,13.77
8470047,Valtteri Filppula,C,7,12,19,60,15.72
8478396,Noah Hanifin,D,4,15,19,96,20.02
8476326,Josh Archibald,RW,10,9,19,67,12.94
8476442,Matt Nieto,LW,7,12,19,72,13.18
8477986,Brandon Montour,D,5,14,19,92,18.84
8473449,Kyle Okposo,RW,8,11,19,89,12.66
8476463,Jonas Brodin,D,3,16,19,80,20.3
8477406,Mattias Janmark,C,6,13,19,78,14.25
8476981,Josh Anderson,RW,9,10,19,133,15.55
8475181,Nick Leddy,D,3,16,19,70,20.04
8475738,Jordan Weal,C,9,10,19,88,13.24
8474034,Patrick Maroon,LW,7,12,19,73,12.37
8479944,Zach Aston-Reese,C,9,10,19,96,13.91
8476374,Sean Kuraly,C,6,12,18,85,12.96
8469455,Jason Spezza,C,6,12,18,71,10.99
8476925,Colton Sissons,C,9,9,18,64,14.07
8477488,Brett Pesce,D,4,14,18,88,20.55
8478407,Vince Dunn,D,6,12,18,98,15.76
8475766,Austin Watson,LW,8,10,18,66,11.75
8474040,Sam Gagner,C,8,10,18,101,13.14
8474056,P.K. Subban,D,5,13,18,119,20.97
8477346,MacKenzie Weegar,D,6,12,18,87,18.79
8476902,Esa Lindell,D,4,14,18,83,22.19
8473618,Mathieu Perreault,C,8,10,18,77,12.71
8470619,Brian Boyle,C,9,9,18,80,12.24
8470257,Alexander Steen,LW,7,11,18,75,13.77
8477451,Ryan Hartman,RW,8,10,18,91,12.12
8476869,Brady Skjei,D,5,13,18,101,19.68
8474581,Jake Gardiner,D,2,16,18,66,16.45
8476934,Brock McGinn,LW,7,10,17,79,12.99
8474091,Brandon Sutter,C,8,9,17,90,14.63
8474151,Ryan McDonagh,D,2,15,17,67,19.96
8476473,Connor Murphy,D,5,12,17,101,19.95
8478020,Michael Amadio,C,7,10,17,78,12.42
8474602,Justin Schultz,D,3,14,17,92,18.95
8475752,Tyler Pitlick,C,8,9,17,74,12.03
8478075,Anders Bjork,LW,7,10,17,67,12.5
8476875,Mike Matheson,D,6,11,17,89,17.66
8477969,Marcus Pettersson,D,2,15,17,66,18.19
8477290,Michael Raffl,LW,7,10,17,65,12.01
8478843,Denis Malgin,C,7,10,17,70,11.88
8477935,Sam Bennett,C,9,8,17,88,12.34
8476913,Devin Shore,C,7,10,17,64,11.74
8471242,Mike Green,D,3,14,17,88,19.87
8474849,Antoine Roussel,LW,7,10,17,72,11.84
8474574,Tyler Myers,D,4,13,17,102,20.24
8473564,Michael Frolik,RW,7,10,17,80,12.31
8475279,Ben Chiarot,D,6,11,17,96,21.37
8476525,Colin Miller,D,2,14,16,86,16.67
8474673,TJ Brodie,D,3,13,16,61,19.51
8477474,Madison Bowey,D,3,13,16,69,16.85
8475753,Justin Faulk,D,5,11,16,113,19.71
8476422,Mike Reilly,D,2,14,16,97,17.28
8476891,Matt Grzelcyk,D,3,13,16,81,17.37
8480144,David Kampf,C,6,10,16,73,13.33
8473473,Milan Lucic,LW,6,10,16,66,12.99
8471260,Blake Comeau,LW,7,9,16,74,14.43
8476392,Adam Lowry,C,7,9,16,79,14.43
8477846,Ryan Carpenter,C,5,11,16,74,13.52
8475160,Kyle Clifford,LW,7,9,16,87,11.01
8478542,Evan Rodrigues,LW,7,9,16,93,11.61
8476975,Cedric Paquette,C,8,8,16,72,12.63
8475728,Johan Larsson,C,6,10,16,62,14.35
8476878,Zemgus Girgensons,C,8,8,16,71,13.4
8474166,Alec Martinez,D,3,12,15,77,20.44
8477930,Pierre-Edouard Bellemare,LW,6,9,15,73,12.94
8476874,Olli Maatta,D,3,12,15,69,17.6
8475208,Brian Dumoulin,D,2,13,15,71,19.95
8477931,Tomas Nosek,LW,7,8,15,79,11.53
8475772,Riley Sheahan,C,7,8,15,67,12.58
8477240,Carter Rowney,RW,6,9,15,55,12.51
8470626,Loui Eriksson,LW,6,9,15,68,12.3
8476437,Victor Rask,C,6,9,15,56,10.6
8476921,Jordan Martinook,LW,5,10,15,67,11.46
8473546,Michael Grabner,RW,9,6,15,76,12.33
8474013,Ian Cole,D,2,13,15,69,17.1
8476779,Brad Hunt,D,5,10,15,90,14.6
8473463,Leo Komarov,C,4,11,15,57,12.47
8474571,Mikkel Boedker,LW,5,10,15,70,10.17
8477353,Tyler Motte,C,7,7,14,73,12.77
8474250,Zack Smith,LW,5,9,14,58,12.06
8477478,William Carrier,LW,7,7,14,80,9.84
8478408,Travis Dermott,D,4,10,14,71,16.58
8471794,Darren Helm,LW,7,7,14,84,13.44
8474098,Colton Sceviour,C,5,9,14,94,12.83
8479482,Michal Kempny,D,2,12,14,73,17.86
8477903,Garnet Hathaway,RW,7,7,14,66,10.7
8471873,Anton Stralman,D,2,12,14,69,19.9
8475343,Nic Dowd,C,6,8,14,54,10.78
8476441,Joel Edmundson,D,4,10,14,78,17.7
8475832,Tom Kuhnhackl,RW,6,8,14,57,11.31
8473446,Erik Johnson,D,3,11,14,92,19.92
8476474,Stefan Noesen,RW,8,6,14,88,11.5
